985306660330762240,,2018-04-14 23:59:48,0,117,"b""RT @Sp0rtsTalkJo3: Let's look at the last 3 NBA Finals where LeBron DIDN'T win Finals MVP\n\nLeBron's averages\n\n32.8 PPG - 11.2 RPG - 7.7 APG\xe2\x80\xa6""",[]
985306658124521472,Atlantic Time (Canada),2018-04-14 23:59:48,1,0,b'@NBA @ESPNNBA Tony Brothers is a menace to society',[]
985306658002948096,Hawaii,2018-04-14 23:59:48,101,30,"b""Spoke with a couple of NBA two way players &amp; some NBA personnel on the G-League. My takeaway. It's not about what y\xe2\x80\xa6 https://t.co/Eak2QF7cy4""",[]
985306654651625473,Central Time (US & Canada),2018-04-14 23:59:47,1,0,b'Nba refs are trash.',[]
985306654194331648,Eastern Time (US & Canada),2018-04-14 23:59:47,5,1,"b'Wow. So many thoughts on this article. Pulled a tear or two out of me. @UMich is a very special place, and it chang\xe2\x80\xa6 https://t.co/fFtPwoaQ0d'",[]
985306651350716416,,2018-04-14 23:59:46,0,617,b'RT @DukeMBB: Best wishes to our guys on NBA Playoff rosters! \n\n#DukeintheNBA\n#TheBrotherhood\n\n\xf0\x9f\x94\xb5\xf0\x9f\x98\x88 https://t.co/ifIo3ChhPa',"[{'text': 'DukeintheNBA', 'indices': [63, 76]}, {'text': 'TheBrotherhood', 'indices': [77, 92]}]"
985306651069636608,,2018-04-14 23:59:46,0,59,"b""RT @purehoop: I almost wish the playoffs didn't start tomorrow so I could keep these going #nba\n*no, I do not wish that at all https://t.co\xe2\x80\xa6""","[{'text': 'nba', 'indices': [91, 95]}]"
985306648381214720,Eastern Time (US & Canada),2018-04-14 23:59:45,0,6,b'RT @dopeboySHAKE: New @JColeNC alert! https://t.co/JlsBU5XpJV',[]
985306646250446849,,2018-04-14 23:59:45,0,265,"b'RT @NBA: John Wall was dishing in the 1st half, dropping 10 dimes to go along with a team-high 13 PTS! #DCFamily https://t.co/I6Pr6CveEy'","[{'text': 'DCFamily', 'indices': [103, 112]}]"
985306644354609152,Eastern Time (US & Canada),2018-04-14 23:59:44,1,1,b'YOUR DAMN REFS ARE TERRIBLE IN THIS WIZ/RAPTORS GAME @NBA',[]
985306643750469632,,2018-04-14 23:59:44,0,209,b'RT @HoopReview: Speaking to several nba scouts @nikehoopsummit this week... General consensus is this 2018 class is soft and needs to learn\xe2\x80\xa6',[]
985306641435365376,Central Time (US & Canada),2018-04-14 23:59:44,0,176,"b'RT @NBA: Pump fake, side step, let it fly! \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\n\n10 PTS for Delon Wright in the 4th.\n\n#WeTheNorth @ESPNNBA https://t.co/Z467MeAHf7'","[{'text': 'WeTheNorth', 'indices': [85, 96]}]"
985306639086641152,,2018-04-14 23:59:43,15,9,b'nba youngboy x nicki minaj\xf0\x9f\x98\xa9 just wow.',[]
985306638730047494,Quito,2018-04-14 23:59:43,1,0,b'No one gets fouled without it being called in the entire NBA more than John Wall. Bullshit.',[]
