user_id,time_zone,created_at,fav,retweet,text,tags
9.85E+17,Eastern Time (US & Canada),4/14/2018 23:59,0,109,b'RT @mikekorz: My life goal is to sit court side next to Drake at an NBA game... If that ever happens I think I can die happy',[]
9.85E+17,London,4/14/2018 23:59,0,6,"b""RT @ProCityHoops: John Wall has been crazy out of control down the stretch. It's hurt the Wizards a ton. #NBA""","[{'text': 'NBA', 'indices': [105, 109]}]"
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,48,b'RT @NBA: #WhiteHot sharpshooter @WayneElli22 warms up for today\xe2\x80\x99s @MiamiHEAT #NBAPlayoffs opener in Philly! https://t.co/xoIlaJtzaK',"[{'text': 'WhiteHot', 'indices': [9, 18]}, {'text': 'NBAPlayoffs', 'indices': [77, 89]}]"
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,0,b'Where #Raptrors biggest cheerleader aka #Drake. #NBAPlayoffs  #NBA',"[{'text': 'Raptrors', 'indices': [6, 15]}, {'text': 'Drake', 'indices': [40, 46]}, {'text': 'NBAPlayoffs', 'indices': [48, 60]}, {'text': 'NBA', 'indices': [62, 66]}]"
9.85E+17,Atlantic Time (Canada),4/14/2018 23:59,0,200,b'RT @GSWdelivery: 15 wins to go \n\n\xe2\x9c\x85\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f 1st Round \xf0\x9f\x91\xb4\xf0\x9f\x8f\xbb = \n\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f 2nd Round = \n\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f Conf. Finals = \n\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f NBA Finals\n\n= \xf0\x9f\x8f\x86\xf0\x9f\x92\x8d\n\n#DubNati\xe2\x80\xa6',[]
9.85E+17,Eastern Time (US & Canada),4/14/2018 23:59,0,0,b'Well we kno who the nba got goin to the next round \xf0\x9f\x98\xad\xf0\x9f\x8c\x9a',[]
9.85E+17,Mountain Time (US & Canada),4/14/2018 23:59,0,0,b'@Kidparkinsons @VicLombardi How was the NBA and MLB attendance in Nashville that year?',[]
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,176,"b'RT @NBA: Pump fake, side step, let it fly! \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\n\n10 PTS for Delon Wright in the 4th.\n\n#WeTheNorth @ESPNNBA https://t.co/Z467MeAHf7'","[{'text': 'WeTheNorth', 'indices': [85, 96]}]"
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,56,b'RT @JavonteSmart: Meek x nba youngboy \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5... sick',[]
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,0,b'NBA Playoffs: Markieff Morris leaves Game 1 vs. Raptors in 4th quarter with apparent ankle injury (ESPN)',[]
9.85E+17,Central Time (US & Canada),4/14/2018 23:59,0,798,b'RT @NBA: MOOD IN THE SIX! #WeTheNorth https://t.co/YVg0iHozWI',"[{'text': 'WeTheNorth', 'indices': [26, 37]}]"
9.85E+17,Eastern Time (US & Canada),4/14/2018 23:59,0,0,b'These NBA games been so lit lately..',[]
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,0,"b""The Raptors when they don't play like shit in the playoffs for one game #NBA #NBAPlayoffs https://t.co/oZWFMaMzxa""","[{'text': 'NBA', 'indices': [72, 76]}, {'text': 'NBAPlayoffs', 'indices': [77, 89]}]"
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,1040,b'RT @RTNBA: NBA Playoff Preview ft J.Cole \xf0\x9f\x94\xa5\n\nVia @ESPNNBA https://t.co/hssRvxbjNV',[]
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,0,b'JOHN WALL IS GETTING MURDERED WHERE\xe2\x80\x99S THE FOUL @NBA',[]
9.85E+17,New Caledonia,4/14/2018 23:59,0,86,b'RT @NBA: Beal takes the contact and drops it in!\n\n#DCFamily @ESPNNBA https://t.co/2F6S1CcVd8',"[{'text': 'DCFamily', 'indices': [50, 59]}]"
9.85E+17,America/Chicago,4/14/2018 23:59,0,11,b'RT @BSO: Matt Barnes on Ex-Wife Gloria Govan Secretly Stealing Money Out of His Accounts While He Was on Road in NBA &amp; Forging His Signatur\xe2\x80\xa6',[]
9.85E+17,Mountain Time (US & Canada),4/14/2018 23:59,0,0,b'To win a NBA championship It\xe2\x80\x99s all about the role players!',[]
9.85E+17,Eastern Time (US & Canada),4/14/2018 23:59,0,0,b'@NBA bring back the justin timberlake / jamie foxx playoffs promo',[]
9.85E+17,Singapore,4/14/2018 23:59,1,0,b'@noneofurchicken @NBA @Raptors @WashWizards @ESPNNBA They were reviewing a shot clock violation by morris',[]
9.85E+17,Eastern Time (US & Canada),4/14/2018 23:59,0,9828,b'RT @StephenCurry30: That time again! . #dubnation https://t.co/j5AgmELk5c',"[{'text': 'dubnation', 'indices': [39, 49]}]"
9.85E+17,Eastern Time (US & Canada),4/14/2018 23:59,0,798,b'RT @NBA: MOOD IN THE SIX! #WeTheNorth https://t.co/YVg0iHozWI',"[{'text': 'WeTheNorth', 'indices': [26, 37]}]"
9.85E+17,Eastern Time (US & Canada),4/14/2018 23:59,0,126,"b""RT @mellentuck: Gregg Popovich was rude towards a bunch of media members again today. There are times when it's deserved, but that wasn't t\xe2\x80\xa6""",[]
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,0,b'NBA Playoffs \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',[]
9.85E+17,Central Time (US & Canada),4/14/2018 23:59,0,0,b'Wall gets 0 respect in the NBA',[]
9.85E+17,Eastern Time (US & Canada),4/14/2018 23:59,0,0,b'Boy if this was happening to Lebron every official would have a meeting at the @NBA offices tonight',[]
9.85E+17,Eastern Time (US & Canada),4/14/2018 23:59,0,0,b'Nba officials are trying John Wall with the no foul call \xf0\x9f\x98\xa4',[]
9.85E+17,Eastern Time (US & Canada),4/14/2018 23:59,0,57,"b""RT @KevinOConnorNBA: How's your day, @SheaSerrano? https://t.co/NK781iX86z https://t.co/dZknWrEJXW""",[]
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,964,"b""RT @NBA: Ahead of today's @Sixers #NBAPlayoffs opener... we showcase @BenSimmons25's best dimes! \n\n\xf0\x9f\x8f\x80: #PhilaUnite x #WhiteHot\n\xe2\x8f\xb0: 8pm/et \n\xf0\x9f\x93\xba:\xe2\x80\xa6""","[{'text': 'NBAPlayoffs', 'indices': [34, 46]}, {'text': 'PhilaUnite', 'indices': [102, 113]}, {'text': 'WhiteHot', 'indices': [116, 125]}]"
9.85E+17,Quito,4/14/2018 23:59,0,1135,b'RT @NBA: #NBAKicks for #NBAPlayoffs for John Wall! https://t.co/UTh37Ctl6o',"[{'text': 'NBAKicks', 'indices': [9, 18]}, {'text': 'NBAPlayoffs', 'indices': [23, 35]}]"
